BSE_Code,Company_Name,BSE_Verified,NSE_Code,Sector,Industry
505200,Eicher Motors Ltd.,505200,EICHERMOT,Consumer Discretionary,Automobile and Auto Components
539448,InterGlobe Aviation Limited,539448,INDIGO,Services,Services
500300,Grasim Industries Ltd,500300,GRASIM,Commodities,Construction Materials
511218,Shriram Finance Limited,511218,SHRIRAMFIN,Financial Services,Financial Services
544274,HYUNDAI MOTOR INDIA LIMITED,544274,HYUNDAI,Consumer Discretionary,Automobile and Auto Components
532343,TVS Motor Company Ltd.,532343,TVSMOTOR,Consumer Discretionary,Automobile and Auto Components
543940,Jio Financial Services Limited,543940,JIOFIN,Financial Services,Financial Services
532488,Divi's Laboratories Ltd.,532488,DIVISLAB,Healthcare,Healthcare
541450,Adani Green Energy Limited,541450,ADANIGREEN,Utilities,Power
532868,DLF LIMITED,532868,DLF,Consumer Discretionary,Realty
540005,LTM LIMITED,540005,LTM,Information Technology,Information Technology
540180,Varun Beverages Limited,540180,VBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods
544569,Tata Motors Limited,544569,TMCV,Industrials,Capital Goods
540777,HDFC LIFE INSURANCE COMPANY LIMITED,540777,HDFCLIFE,Financial Services,Financial Services
500547,Bharat Petroleum Corpn. Ltd.,500547,BPCL,Energy,"Oil, Gas & Consumable Fuels"
532134,Bank Of Baroda,532134,BANKBARODA,Financial Services,Financial Services
532755,Tech Mahindra Limited,532755,TECHM,Information Technology,Information Technology
544658,ICICI Prudential Asset Management Company Limited,544658,ICICIAMC,Financial Services,Financial Services
500331,Pidilite Industries Ltd.,500331,PIDILITIND,Commodities,Chemicals
543257,Indian Railway Finance Corporation,543257,IRFC,Financial Services,Financial Services
533398,MUTHOOT FINANCE LIMITED,533398,MUTHOOTFIN,Financial Services,Financial Services
500251,Trent Ltd [Lakme Ltd],500251,TRENT,Consumer Discretionary,Consumer Services
500825,Britannia Industries Ltd.,500825,BRITANNIA,Fast Moving Consumer Goods,Fast Moving Consumer Goods
544574,Tata Capital Limited,544574,TATACAP,Financial Services,Financial Services
511243,Cholamandalam Investment and Finance Company Ltd,511243,CHOLAFIN,Financial Services,Financial Services
532461,Punjab National Bank,532461,PNB,Financial Services,Financial Services
500420,Torrent Pharmaceuticals Ltd.,500420,TORNTPHARM,Healthcare,Healthcare
532483,Canara Bank,532483,CANBK,Financial Services,Financial Services
500570,TATA MOTORS PASSENGER VEHICLES LIMITED,500570,TMPV,Consumer Discretionary,Automobile and Auto Components
532477,Union Bank of India,532477,UNIONBANK,Financial Services,Financial Services
532810,Power Finance Corporation Ltd,532810,PFC,Financial Services,Financial Services
500425,Ambuja Cements Ltd.,500425,AMBUJACEM,Commodities,Construction Materials
500480,Cummins India Ltd.,500480,CUMMINSIND,Industrials,Capital Goods
517334,Samvardhana Motherson International Limited,517334,MOTHERSON,Consumer Discretionary,Automobile and Auto Components
500400,Tata Power Co. Ltd,500400,TATAPOWER,Utilities,Power
539254,Adani Energy Solutions Limited,539254,ADANIENSOL,Utilities,Power
532725,Solar Industries India Limited,532725,SOLARINDS,Commodities,Chemicals
500002,ABB India Limited,500002,ABB,Industrials,Capital Goods
500490,Bajaj Holdings & Investment Limited,500490,BAJAJHLDNG,Financial Services,Financial Services
532814,Indian Bank,532814,INDIANB,Financial Services,Financial Services
532424,Godrej Consumer Products Ltd.,532424,GODREJCP,Fast Moving Consumer Goods,Fast Moving Consumer Goods
532286,JINDAL STEEL LIMITED,532286,JINDALSTEL,Commodities,Metals & Mining
500550,Siemens Ltd.,500550,SIEMENS,Industrials,Capital Goods
542652,Polycab India Limited,542652,POLYCAB,Industrials,Capital Goods
500800,TATA CONSUMER PRODUCTS LIMITED,500800,TATACONSUM,Fast Moving Consumer Goods,Fast Moving Consumer Goods
532822,VODAFONE IDEA LIMITED,532822,IDEA,Telecommunication,Telecommunication
534816,INDUS TOWERS LIMITED,534816,INDUSTOWER,Telecommunication,Telecommunication
500182,Hero MotoCorp Limited,500182,HEROMOTOCO,Consumer Discretionary,Automobile and Auto Components
541729,HDFC Asset Management Company Limited,541729,HDFCAMC,Financial Services,Financial Services
500087,Cipla Ltd.,500087,CIPLA,Healthcare,Healthcare
532155,Gail (India) Ltd.,532155,GAIL,Energy,"Oil, Gas & Consumable Fuels"
500093,CG Power and Industrial Solutions Limited,500093,CGPOWER,Industrials,Capital Goods
508869,Apollo Hospitals Enterprises Ltd.,508869,APOLLOHOSP,Healthcare,Healthcare
500530,Bosch Ltd,500530,BOSCHLTD,Consumer Discretionary,Automobile and Auto Components
500124,Dr. Reddy's Laboratories Ltd.,500124,DRREDDY,Healthcare,Healthcare
544576,LG Electronics India Limited,544576,LGEINDIA,Consumer Discretionary,Consumer Durables
544603,Billionbrains Garage Ventures Limited,544603,GROWW,Financial Services,Financial Services
500477,Ashok Leyland Ltd.,500477,ASHOKLEY,Industrials,Capital Goods
532754,GMR Airports Limited,532754,GMRAIRPORT,Services,Services
500116,IDBI Bank Ltd,500116,IDBI,Financial Services,Financial Services
543220,Max Healthcare Institute Limited,543220,MAXHEALTH,Healthcare,Healthcare
544390,Siemens Energy India Limited,544390,ENRIN,Industrials,Capital Goods
543287,Lodha Developers Limited,543287,LODHA,Consumer Discretionary,Realty
543237,Mazagon Dock Shipbuilders Limited,543237,MAZDOCK,Industrials,Capital Goods
500257,Lupin Ltd,500257,LUPIN,Healthcare,Healthcare
543187,HITACHI ENERGY INDIA LIMITED,543187,POWERINDIA,Industrials,Capital Goods
532432,United Spirits Limited,532432,UNITDSPR,Fast Moving Consumer Goods,Fast Moving Consumer Goods
531642,Marico Limited,531642,MARICO,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500850,Indian Hotels Co. Ltd,500850,INDHOTEL,Consumer Discretionary,Consumer Services
500103,Bharat Heavy Electricals Ltd.,500103,BHEL,Industrials,Capital Goods
540716,ICICI Lombard General Insurance Company Limited ,540716,ICICIGI,Financial Services,Financial Services
500387,Shree Cements Ltd.,500387,SHREECEM,Commodities,Construction Materials
